Name,MC,Attr,Ref,LABEL
0426b845-7afa-40ba-ae6a-6c5af4257b73.xmi,41,41,15,model
057a67a9-ad18-4269-a6aa-20a6c3b3df3e.xmi,13,20,0,model
05f3b58b-93b4-4082-b69d-77fbb3b92301.xmi,34,34,0,model
0784f53b-8c21-4ff5-b975-1156aed3f6bc.xmi,25,20,0,model
0861d75f-5537-4df4-99d6-6342e18cec2a.xmi,17,22,0,model
0877c0da-9e98-42d6-87a9-063942ac640f.xmi,22,35,24,model
08b161ab-7194-464a-8516-4af2c0f3f087.xmi,28,48,0,model
08bd8f6d-97ea-45b4-80ab-46c60f947207.xmi,5,2,0,model
0c55be5a-49b4-4e85-bc40-2ee1031a65ac.xmi,1,0,0,model
0c8098c2-0b3b-48be-aaec-3cf2b32f61db.xmi,14,20,0,model
0cec2e6f-ba0d-4482-a7e5-07413986c8e6.xmi,10,10,0,model
0d33b0fe-e942-4628-a696-7c6fe96e04b5.xmi,31,20,0,model
0eadc2a1-6f6c-47e3-b34f-1139564529c4.xmi,11,12,0,model
0ec2c577-dcb5-438b-be1c-9935dbfd3f14.xmi,27,20,0,model
0f655284-443a-464f-91f2-aa6c28ff831a.xmi,27,16,0,model
10df3248-c27d-4706-991b-1d85c0e2be06.xmi,41,109,0,model
10fe3591-9dfe-4f0f-a4b6-2822dd358642.xmi,7,1,0,model
114a3966-e7c5-411d-8b77-bec5cc647bb9.xmi,8,0,0,model
1296ce34-e561-4ba5-a34c-6a5624a4d9cf.xmi,16,14,0,model
134daf0d-9063-4c11-bc31-18697a2c0c14.xmi,15,18,5,model
14be3332-bb2f-4945-9c4a-5b2af5dc3977.xmi,31,39,52,model
1591e301-00d0-420a-aaf6-506bb6d53e68.xmi,9,1,0,model
160a0f9b-12a7-419a-8b57-607bbcf1196c.xmi,21,18,0,model
164781c0-1d74-4156-96cc-fd9c6c41e483.xmi,4,0,0,model
167b9edd-b037-4511-9c29-d40def2de85b.xmi,41,30,0,model
172fe31f-0f90-43d7-85df-0d785bd7b9af.xmi,5,16,42,model
1788b43b-1ca2-4bb2-9ecc-5da670f502b0.xmi,27,26,0,model
17b8865c-68e1-42ee-befd-d898357dcc1c.xmi,32,34,0,model
19a55228-e018-4e4d-8b44-1a546d039aae.xmi,7,1,0,model
19d23c72-0475-4b19-a802-9725e8f27c5c.xmi,10,1,9,model
19f91996-421c-4217-8241-a397889614ad.xmi,14,22,0,model
1afc5a3a-1976-44a1-bc79-9390deefcd32.xmi,15,24,0,model
1b43086c-4b27-4855-be96-e802e6c1a6aa.xmi,27,31,21,model
